,Estimate#,Converted#,CompanyName,PriceTotal,DateCreated,DateConverted,DateLost,DateVoided
924,7806,179012,"Reading Truck Body, LLC",38.69,1/18/2019 14:37,1/25/2019 15:04,,
925,7807,,"Magellan Midstream Partners, L.P.",503.52,1/18/2019 14:46,,5/15/2019 14:41,
926,7808,181130,Great Lakes Industrial Furnace Services,347.45,1/18/2019 14:54,2/1/2019 10:34,,
927,7809,,Upper Sandusky High School,90.26,1/18/2019 14:56,,4/11/2019 14:17,
928,7810,177520,Rochester Electronics,1000.5,1/18/2019 14:57,1/22/2019 11:36,,
929,7811,177556,St. Louis Public Library,378.5,1/18/2019 15:06,1/22/2019 12:51,,
930,7812,181970,"Skydive Snohomish, Inc.",26.38,1/18/2019 15:23,2/5/2019 8:13,,
931,7813,178782,WeWork,76,1/18/2019 15:31,1/25/2019 10:24,,
932,7814,179835,FASTSIGNS Speedway,78.9,1/18/2019 15:56,1/29/2019 11:17,,
933,7815,,A&H Signs,13805.97,1/21/2019 8:25,,4/3/2019 9:55,
934,7816,177833,WeWork,25.56,1/21/2019 9:19,1/23/2019 9:15,,
935,7817,177736,Holland Sign Solutions,45.37,1/21/2019 9:45,1/22/2019 16:04,,
936,7818,177125,Entail Engine,389,1/21/2019 10:25,1/21/2019 12:40,,
1016,7819,,"Shark Signs of NE FL, Inc.",2474.4,1/21/2019 10:54,,3/4/2019 14:18,
1017,7820,178979,IKEA,375.43,1/21/2019 11:16,1/25/2019 14:21,,
1018,7821,177443,SignUp Signs & Graphics,175,1/21/2019 12:49,1/22/2019 10:03,,
1019,7822,178355,Triad Creative Group,274.85,1/21/2019 13:31,1/24/2019 10:53,,
81,7823,177516,Power House Manufacturing,46.5,1/21/2019 13:41,1/22/2019 11:29,,
82,7824,178325,Global Design & Development LLC,35.51,1/21/2019 13:46,1/24/2019 10:18,,
83,7825,177662,Makino,7,1/21/2019 14:09,1/22/2019 14:50,,
84,7826,190892,IKEA,1184.5,1/21/2019 15:27,3/4/2019 11:08,,
85,7827,177911,Advanced Electric Systems,112,1/21/2019 15:31,1/23/2019 10:27,,
86,7828,,Sundance Signs & Graphics,3902.5,1/21/2019 15:33,,1/29/2019 13:31,
87,7829,177460,Portland Specialty Baking,84.5,1/21/2019 15:33,1/22/2019 10:22,,
88,7830,177502,CS Energy,40.5,1/21/2019 16:04,1/22/2019 11:07,,
89,7831,,Fluid Systems,506.5,1/21/2019 16:55,,4/3/2019 15:53,
90,7832,178740,"E Light Electric Services, Inc.",7129.4,1/21/2019 17:17,1/25/2019 8:55,,
91,7833,180659,TRAC,33.5,1/22/2019 8:24,1/31/2019 11:01,,
92,7834,,Tex-Oma Builders Supply,32.5,1/22/2019 9:28,,3/18/2019 13:50,
93,7835,178518,"Village Nurseries Wholesale, LLC",299,1/22/2019 9:29,1/24/2019 14:11,,
94,7836,177855,"Froula Alarm Systems, Inc.",123,1/22/2019 10:00,1/23/2019 9:43,,
95,7837,177906,"Magellan Midstream Partners, L.P.",183.5,1/22/2019 10:17,1/23/2019 10:20,,
96,7838,,G&G Equipment Specialists,122.5,1/22/2019 10:49,,2/7/2019 10:21,
97,7839,177888,CSL Behring Biotherapies for Life,140.6,1/22/2019 10:57,1/23/2019 10:04,,
98,7840,,NESPER SIGN,3205.14,1/22/2019 11:19,,4/3/2019 15:54,
99,7841,178753,DEACRO Industries,135,1/22/2019 11:24,1/25/2019 9:11,,
100,7842,,Signarama of Bonita Springs,292.5,1/22/2019 11:40,,2/21/2019 13:28,
101,7843,177858,CS Energy,51.5,1/22/2019 11:53,1/23/2019 9:47,,
102,7844,,Dibble Creek Rock,65,1/22/2019 12:01,,2/27/2019 12:04,
103,7845,177632,Weis Markets Milton Distribution Center,122.43,1/22/2019 12:07,1/22/2019 14:12,,
104,7846,180857,Dwyer Bros Inc,42.3,1/22/2019 12:12,1/31/2019 14:51,,
105,7847,181816,Hoeganaes Corp.,203.66,1/22/2019 12:44,2/4/2019 14:19,,
106,7848,209427,Tetra Tech / Maytag Joint Venture,77.23,1/22/2019 13:02,4/23/2019 10:36,,
185,7849,,Tetra Tech / Maytag Joint Venture,279.81,1/22/2019 13:12,,5/10/2019 13:34,
186,7850,178867,Premier Builder,338.95,1/22/2019 13:32,1/25/2019 12:07,,
187,7851,177998,New Mexico Tech,19,1/22/2019 13:35,1/23/2019 12:34,,
188,7852,179176,"Affinity Property Management, Inc.",69.5,1/22/2019 13:37,1/28/2019 8:29,,
189,7853,,"Magellan Midstream Partners, LP",152.5,1/22/2019 13:50,,2/4/2019 14:08,
190,7854,177996,UPS,491,1/22/2019 14:18,1/23/2019 12:30,,
191,7855,177747,Danisco Sweeteners,107.05,1/22/2019 14:20,1/22/2019 16:13,,
192,7856,178866,"Commercial Fire & Communications, Inc.",412.5,1/22/2019 14:36,1/25/2019 12:06,,
193,7857,177721,WeWork,1069,1/22/2019 14:44,1/22/2019 15:46,,
194,7858,177854,"VPP Group, LLC",11.61,1/22/2019 14:53,1/23/2019 9:42,,
195,7859,177989,Wastewater Lift Stations,480.5,1/22/2019 15:37,1/23/2019 12:21,,
196,7860,,Bon Secours Memorial Regional Medical Center,91.5,1/22/2019 15:45,,4/18/2019 10:09,
197,7861,,Kemp Signs & Service,7437.5,1/23/2019 7:57,,3/14/2019 13:33,
198,7862,178100,Signs R US,276.5,1/23/2019 8:29,1/23/2019 14:37,,
199,7863,180723,46TS/TGBC,180.5,1/23/2019 8:31,1/31/2019 12:42,,
200,7864,178072,"Wesco Integrated Supply, Inc",277.5,1/23/2019 8:36,1/23/2019 14:12,,
201,7865,178040,HSC Builders & Construction Manager,331.25,1/23/2019 8:39,1/23/2019 13:32,,
202,7866,178886,G&G Equipment Specialists,86.5,1/23/2019 8:58,1/25/2019 12:20,,
203,7867,185359,Tobyhanna Army Depot,297.5,1/23/2019 9:32,2/14/2019 11:46,,
204,7868,,Katerra,376.5,1/23/2019 9:44,,2/18/2019 16:15,
205,7869,177874,"Thermon, Inc.",159.5,1/23/2019 9:56,1/23/2019 9:56,,
206,7870,178400,Dentsply Sirona Lab,27.03,1/23/2019 9:57,1/24/2019 11:50,,
207,7871,178520,"Paramount Group, Inc.",17,1/23/2019 11:19,1/24/2019 14:15,,
208,7872,178121,CS Energy,132.5,1/23/2019 11:46,1/23/2019 14:59,,
209,7873,,World Oil Marketing,2400.25,1/23/2019 11:47,,1/24/2019 12:44,
210,7874,178106,First Baptist Church of Niles,106.39,1/23/2019 12:30,1/23/2019 14:40,,
314,7875,,Pattie Essig,33.39,1/23/2019 12:46,,2/4/2019 13:29,
315,7876,188221,DaVita,76.5,1/23/2019 13:18,2/22/2019 15:18,,
316,7877,178426,Premier Management Services LC,86.92,1/23/2019 13:26,1/24/2019 12:10,,
317,7878,178245,"Automated Food Systems, Inc.",211.2,1/23/2019 13:35,1/24/2019 7:13,,
318,7879,178269,Beachcomber Resort and Villas,53.5,1/23/2019 13:51,1/24/2019 8:44,,
319,7880,179014,William R Courtney Texas State Veterans Home,90.5,1/23/2019 14:13,1/25/2019 15:12,,
320,7881,178519,Narrows Marina,1648.51,1/23/2019 14:21,1/24/2019 14:14,,
321,7882,,HD Supply /White Cap Construction & Industrial,193,1/23/2019 14:41,,2/7/2019 16:03,
322,7883,178376,"Ad Art, Inc",597,1/23/2019 14:57,1/24/2019 11:24,,
323,7884,179280,Marketshare Inc,465,1/23/2019 15:05,1/28/2019 11:45,,
324,7885,,Roche Grain,17.94,1/23/2019 15:09,,,1/23/2019 15:36
325,7886,,Modular Connections,78,1/23/2019 15:15,,2/8/2019 10:32,
326,7887,178961,D&L Foundry,690.26,1/23/2019 15:27,1/25/2019 13:54,,
327,7888,179825,Gemaire,25.09,1/23/2019 15:50,1/29/2019 11:05,,
328,7889,180481,HOA Premier Management.,46.5,1/24/2019 8:58,1/31/2019 7:41,,
329,7890,178287,NMCLANT Det Jax,138.5,1/24/2019 9:04,1/24/2019 9:09,,
330,7891,178448,"Live Oak, Inc",69.75,1/24/2019 9:09,1/24/2019 12:36,,
331,7892,,Analog Devices Inc.,94.5,1/24/2019 9:45,,2/4/2019 11:20,
332,7893,179217,Sierra International Machinery,5377,1/24/2019 10:46,1/28/2019 10:06,,
333,7894,180930,"Arizona Center for Hand Surgery, PC",360.5,1/24/2019 11:57,1/31/2019 16:43,,
334,7895,,"RPM Business Solutions, Inc",137.5,1/24/2019 12:20,,2/26/2019 15:07,
335,7896,,Snow & Company,316.56,1/24/2019 12:29,,2/4/2019 13:28,
336,7897,182209,Top Cats,198.65,1/24/2019 13:29,2/5/2019 13:09,,
337,7898,179932,JW Marriott Essex House,29.5,1/24/2019 13:36,1/29/2019 12:44,,
338,7899,,Advance Community Health,63.82,1/24/2019 13:58,,2/22/2019 10:14,
339,7900,180804,"Penn Waste, Inc.",85.33,1/24/2019 14:03,1/31/2019 13:54,,
445,7901,,Health and Human Services Department,33.5,1/24/2019 14:21,,2/4/2019 14:30,
446,7902,181280,Smithfield Foods,235.68,1/24/2019 14:26,2/1/2019 14:33,,
447,7903,178896,"ORR Protection Systems, Inc.",191,1/24/2019 14:28,1/25/2019 12:35,,
448,7904,179216,NRG Energy El Segundo Operations,168.5,1/24/2019 14:28,1/28/2019 10:03,,
449,7905,179242,Community Systems Inc.,642.5,1/24/2019 14:40,1/28/2019 10:39,,
450,7906,181151,Gemini Office Products,13,1/24/2019 14:46,2/1/2019 11:09,,
451,7907,181081,St. Jude Medical,70.5,1/24/2019 14:58,2/1/2019 9:33,,
452,7908,179200,Involta,259.33,1/25/2019 8:20,1/28/2019 9:39,,
453,7909,,Tactile/Braille Signs,1276,1/25/2019 9:37,,4/12/2019 13:23,
454,7910,,Tactile/Braille Signs,239,1/25/2019 10:47,,4/12/2019 13:22,
455,7911,,Concho Valley Transit District,39.5,1/25/2019 11:30,,2/4/2019 9:31,
456,7912,180008,Deborah V Epstein,25.5,1/25/2019 12:06,1/29/2019 14:14,,
457,7913,181328,TRANSCONTINENTAL ENGINEERED PRODUCTS LTD (TEP),,1/25/2019 12:27,2/1/2019 15:27,,
458,7914,179370,"Edgeboro International, Inc.",145.34,1/25/2019 12:33,1/28/2019 13:45,,
459,7915,179202,Autumn Ridge of Clarkston,103.88,1/25/2019 13:06,1/28/2019 9:41,,
460,7916,,Enerflex Energy Systems Inc.,108.5,1/25/2019 13:42,,2/19/2019 8:11,
461,7917,,ITW Brands,144.84,1/25/2019 13:44,,4/11/2019 14:18,
462,7918,183539,ALLIED CIRCUITS,60.5,1/25/2019 14:00,2/8/2019 13:19,,
463,7919,180074,Puget Sound Energy,462.78,1/25/2019 14:17,1/29/2019 15:37,,
464,7920,187681,"Ad Art, Inc",201.07,1/25/2019 14:18,2/21/2019 13:02,,
465,7921,179885,John Thomas Inc,147.5,1/25/2019 14:20,1/29/2019 12:02,,
466,7922,187193,G&G Equipment Specialists,164.5,1/25/2019 14:54,2/20/2019 12:03,,
467,7923,180056,920th OSS,1362.45,1/25/2019 14:54,1/29/2019 15:25,,
468,7924,179292,John Thomas Inc,1027.5,1/25/2019 15:02,1/28/2019 11:50,,
469,7925,179246,Windsor Management Corp,69.5,1/25/2019 15:11,1/28/2019 10:47,,
470,7926,179279,Maas Energy Works,17,1/25/2019 15:18,1/28/2019 11:44,,
549,7927,179309,Signature Flight Support,412.03,1/25/2019 15:22,1/28/2019 12:13,,
550,7928,180871,County of Kauai Solid Waste Division,81.52,1/25/2019 16:08,1/31/2019 15:01,,
551,7929,179321,Highlands in Kirkland,13.2,1/25/2019 16:51,1/28/2019 12:32,,
552,7930,180911,Röckenwagner Bakery,41.5,1/25/2019 17:28,1/31/2019 15:40,,
553,7931,182253,Kearny Real Estate Company,76.5,1/25/2019 17:33,2/5/2019 14:05,,
554,7932,192024,Western Shelter Systems,377.5,1/25/2019 17:41,3/6/2019 13:21,,
555,7933,,Matt Modlin,149.5,1/28/2019 9:44,,4/8/2019 14:13,
556,7934,179220,JLL Property Management,15.12,1/28/2019 9:49,1/28/2019 10:12,,
557,7935,180744,"Claddagh Construction, Inc.",44,1/28/2019 9:49,1/31/2019 13:03,,
558,7936,179463,A Plus Sign Shops Inc.,682,1/28/2019 10:02,1/28/2019 14:56,,
559,7937,,Signwave Caribbean Limited,324.5,1/28/2019 10:04,,4/4/2019 9:34,
560,7938,185661,KINZ Trading Pte Ltd,216.6,1/28/2019 10:34,2/15/2019 9:21,,
561,7939,182184,"On-Time Industrial Supply, LLC",94,1/28/2019 11:00,2/5/2019 12:47,,
562,7940,179320,"Vaughn Industries, LLC",380.21,1/28/2019 11:17,1/28/2019 12:31,,
563,7941,,Ergon asphalt & Emulsions,376.25,1/28/2019 11:22,,4/12/2019 13:21,
564,7942,179535,WeWork,795,1/28/2019 11:22,1/28/2019 15:55,,
565,7943,179541,Bohler Well Service,172.22,1/28/2019 11:37,1/28/2019 16:13,,
566,7944,179842,Santee Cooper,528.5,1/28/2019 11:39,1/29/2019 11:20,,
567,7945,179276,Premier Builder,166.5,1/28/2019 11:42,1/28/2019 11:43,,
568,7946,179680,Makino,9,1/28/2019 12:11,1/29/2019 8:35,,
569,7947,,Tactile/Braille Signs,71,1/28/2019 12:16,,4/12/2019 13:22,
570,7948,,TomCo Systems,851.08,1/28/2019 12:18,,12/19/2019 9:02,
571,7949,183658,Sewall Marshal Condominiums,106.5,1/28/2019 12:29,2/8/2019 16:23,,
572,7950,179667,Solvay,442.5,1/28/2019 12:36,1/29/2019 7:54,,
573,7951,180516,New Mexico Tech,54.5,1/28/2019 12:40,1/31/2019 8:19,,
574,7952,185028,T-Mobile,2004.84,1/28/2019 12:51,2/13/2019 14:27,,
651,7953,185650,Premier Management Services LC,118.72,1/28/2019 13:01,2/15/2019 9:01,,
652,7954,179425,Kokatat,22,1/28/2019 13:32,1/28/2019 14:25,,
653,7955,191689,WeWork,901,1/28/2019 14:59,3/5/2019 15:46,,
654,7956,180106,Pam Morrison,46.31,1/28/2019 15:06,1/29/2019 16:28,,
655,7957,,FASTSIGNS,16312.5,1/28/2019 15:13,,2/6/2019 11:01,
656,7958,179933,Joe Hillman Maintenance & Construction,34.5,1/28/2019 15:13,1/29/2019 12:45,,
657,7959,,FastSigns- Greenfield,85.5,1/28/2019 15:39,,3/4/2019 17:01,
658,7960,179947,"Sea Watch International, Ltd",54.59,1/28/2019 15:48,1/29/2019 12:53,,
659,7961,179615,Katerra,808.5,1/28/2019 16:46,1/28/2019 17:24,,
660,7962,179685,CenturyLink,476.5,1/29/2019 7:32,1/29/2019 8:47,,
661,7963,180940,Mike Moeller,39.68,1/29/2019 7:49,1/31/2019 17:10,,
662,7964,,Montana Doorways Plus,37.5,1/29/2019 8:23,,4/18/2019 10:10,
663,7965,182140,Premium Plant Services,101.47,1/29/2019 8:43,2/5/2019 12:19,,
664,7966,179918,RedRock Security,162.5,1/29/2019 9:41,1/29/2019 12:32,,
665,7967,,Brooklyn College,2050.8,1/29/2019 9:48,,3/6/2019 10:08,
666,7968,,Protrade,7041.05,1/29/2019 10:18,,3/28/2019 14:44,
667,7970,,Haulotte /Bil-Jax Group,72.41,1/29/2019 10:53,,4/11/2019 14:19,
668,7971,179833,Globalcom Technologies,203.63,1/29/2019 11:01,1/29/2019 11:15,,
669,7973,,"Epco Ltd., Inc.",171.74,1/29/2019 11:46,,3/18/2019 13:52,
670,7974,180609,First Solar,46.5,1/29/2019 12:00,1/31/2019 10:16,,
671,7975,181489,MIFCO (McEnglevan),91.6,1/29/2019 12:07,2/4/2019 7:58,,
672,7976,183879,"E Light Electric Services, Inc.",1695.19,1/29/2019 12:35,2/11/2019 10:45,,
673,7977,181113,Gemalto,129.85,1/29/2019 13:25,2/1/2019 10:17,,
674,7978,181043,Belzona Marine,100.5,1/29/2019 13:29,2/1/2019 8:37,,
675,7979,181827,Robert P. Smith Towers,82.5,1/29/2019 13:51,2/4/2019 14:30,,
676,7980,189528,Williams,600.5,1/29/2019 13:59,2/27/2019 11:39,,
780,7981,180498,BASF.,188.5,1/29/2019 14:01,1/31/2019 8:04,,
781,7982,,G&G Equipment Specialists,137.5,1/29/2019 14:13,,5/10/2019 9:20,
782,7983,,Seyer Industries,45.5,1/29/2019 14:28,,2/27/2019 13:32,
783,7984,,Seyer Industries,15.5,1/29/2019 14:31,,2/27/2019 13:31,
784,7985,,"Morgan Park Auto Service, Inc.",26.09,1/29/2019 14:33,,2/14/2019 12:41,
785,7986,181887,Calvin College,59.5,1/29/2019 15:42,2/4/2019 16:27,,
786,7987,181591,Calphalon,240.5,1/31/2019 8:29,2/4/2019 10:46,,
787,7988,180846,Midwest Energy Resources Company,269.56,1/31/2019 8:50,1/31/2019 14:42,,
788,7989,184403,JAD Corporation of America,88.5,1/31/2019 8:55,2/12/2019 10:07,,
789,7990,182015,Carolyn Conyers,20.14,1/31/2019 8:55,2/5/2019 10:03,,
790,7991,,Merrill Fab /AGRA Industries,226.72,1/31/2019 9:19,,2/8/2019 12:37,
791,7992,181067,"E Light Electric Services, Inc.",1362.49,1/31/2019 9:32,2/1/2019 8:58,,
792,7993,180967,Makino,11,1/31/2019 10:05,1/31/2019 17:34,,
793,7994,182143,Uneeda Enterprises,1002.5,1/31/2019 10:25,2/5/2019 12:20,,
794,7995,180816,CECO ENVIRONMENTAL,66.88,1/31/2019 10:35,1/31/2019 14:03,,
795,7996,181036,Phipps Houses Services,28.5,1/31/2019 10:39,2/1/2019 8:31,,
796,7997,181500,Eric Tepe,9.64,1/31/2019 10:58,2/4/2019 8:32,,
797,7998,183056,Avison Young,51.5,1/31/2019 11:05,2/7/2019 12:42,,
798,7999,188022,Sierra International Machinery,2655,1/31/2019 11:10,2/22/2019 10:25,,
799,8000,181092,Commodore Builders,45.5,1/31/2019 11:13,2/1/2019 9:47,,
800,8001,180955,Archer Western,23.5,1/31/2019 11:34,1/31/2019 17:25,,
801,8002,183853,MOTCO Army,2443,1/31/2019 11:38,2/11/2019 10:26,,
802,8003,180786,Complete Facilities Services Inc.,234.5,1/31/2019 12:00,1/31/2019 13:43,,
803,8004,,Moya Design Partners,897.82,1/31/2019 12:02,,2/8/2019 15:29,
804,8005,,"Ad Art, Inc",2424.25,1/31/2019 12:59,,2/7/2019 9:00,
805,8006,182182,Savannah Airport Commission,282.5,1/31/2019 13:00,2/5/2019 12:47,,
806,8007,182100,CS Energy,318.82,1/31/2019 13:15,2/5/2019 11:54,,
859,8008,,"Lambert Ezell Durham Architecture, LLC",112,1/31/2019 13:20,,1/31/2019 16:11,
860,8009,,G&G Equipment Specialists,191.25,1/31/2019 13:28,,5/10/2019 9:19,
861,8010,180859,Proficient Builders,181,1/31/2019 13:39,1/31/2019 14:52,,
862,8011,180942,St. Louis Public Library,129.5,1/31/2019 13:58,1/31/2019 17:12,,
863,8012,184941,Womack Army Medical Center,1776.5,1/31/2019 14:10,2/13/2019 12:42,,
864,8013,187334,FASTSIGNS of Huntsville,312.5,1/31/2019 14:10,2/20/2019 15:12,,
865,8014,183042,United Tissue Network,187.5,1/31/2019 14:22,2/7/2019 12:11,,
866,8015,181013,"Eltech Industries, Inc.",20,1/31/2019 14:23,2/1/2019 7:59,,
867,8016,182231,JW Marriott Essex House,404.5,1/31/2019 14:24,2/5/2019 13:43,,
868,8017,181080,VALIANT Integrated,240.75,1/31/2019 14:34,2/1/2019 9:30,,
869,8018,181842,Power House Manufacturing,101.5,1/31/2019 14:34,2/4/2019 14:50,,
870,8019,,DuPree Building Specialties of MT,44.5,1/31/2019 14:53,,3/7/2019 16:49,
871,8020,181363,Gary F Gardner Inc.,647.76,1/31/2019 15:03,2/1/2019 16:50,,
872,8021,181254,"Self Storage Signs, LLC",714,1/31/2019 15:14,2/1/2019 14:05,,
873,8022,,NYC Department of Health and Mental Hygiene,7384,1/31/2019 15:30,,3/18/2019 8:52,
874,8023,185391,"Scott Wall Construction, Inc.",286.73,1/31/2019 16:32,2/14/2019 12:18,,
875,8024,202345,Seastar Solutions,657.67,1/31/2019 17:00,4/3/2019 9:33,,
876,8025,182336,WeWork,307,1/31/2019 17:06,2/5/2019 15:52,,
877,8026,181588,Midwestern Bio Ag,17.04,1/31/2019 17:30,2/4/2019 10:42,,
878,8027,,Better Late Than Never (band),106.5,1/31/2019 17:37,,2/22/2019 12:55,
879,8028,181008,"Summer Systems, Inc.",66,1/31/2019 17:52,2/1/2019 7:55,,
6788,13420,270387,Dominion Energy Transmission Inc.,50.35,10/1/2019 7:32,10/3/2019 8:56,,
6789,13421,,Puget Sound Energy,2818.75,10/1/2019 7:37,,10/11/2019 14:51,
6790,13422,269555,Spang Power Electronics,18.2,10/1/2019 8:11,10/1/2019 13:00,,
6791,13423,269600,VJ Technologies Inc.,278.64,10/1/2019 8:34,10/1/2019 13:58,,
6792,13424,269923,Poolcorp,107.15,10/1/2019 8:40,10/2/2019 11:05,,
6793,13425,,Vital Signs,4006.1,10/1/2019 9:26,,1/6/2020 17:06,
6794,13426,269908,Orange County NC,393.34,10/1/2019 9:27,10/2/2019 10:33,,
6795,13427,,Test Company,22.36,10/1/2019 9:31,,,10/1/2019 9:34
6796,13428,269499,The Art Institute of Chicago,271.5,10/1/2019 9:41,10/1/2019 11:49,,
6797,13429,269476,Donald Klecz,35.67,10/1/2019 10:20,10/1/2019 11:26,,
6798,13430,275039,Magellan MIdstream Parnters,807.8,10/1/2019 10:32,10/16/2019 13:15,,
6799,13431,271353,BridgeWay Church,76.5,10/1/2019 10:49,10/7/2019 8:24,,
6800,13432,,Occutec Inc.,84,10/1/2019 11:17,,11/18/2019 12:04,
6801,13433,,Alphagraphics,1587.39,10/1/2019 11:42,,12/11/2019 9:25,
6802,13434,274384,Wingtips Lounge,25.59,10/1/2019 11:51,10/15/2019 9:51,,
6803,13435,269573,Summit Metro Parks,19,10/1/2019 12:06,10/1/2019 13:29,,
6804,13436,269582,Eastbrook Church,241.3,10/1/2019 12:06,10/1/2019 13:42,,
6805,13437,,"Altek Electronics, Inc.",439.12,10/1/2019 12:56,,10/23/2019 10:17,
6806,13438,269709,Signarama of Asheville,50.5,10/1/2019 13:17,10/1/2019 15:43,,
6807,13439,,Waste Management Renewable Energy,26.28,10/1/2019 13:30,,12/19/2019 11:47,
6808,13440,270662,"Wedgefield Community Association, Inc",120.5,10/1/2019 13:30,10/3/2019 14:46,,
6809,13441,274033,Sign Designs,40.5,10/1/2019 13:39,10/14/2019 11:30,,
6810,13442,270022,Tetra Tech / Maytag Joint Venture,388.19,10/1/2019 13:50,10/2/2019 12:46,,
6811,13443,275784,First General Realty,41.97,10/1/2019 14:03,10/18/2019 7:30,,
6812,13444,269873,Tony's Farm and Garden Center,50.65,10/1/2019 14:07,10/2/2019 9:48,,
6813,13445,269907,CS Energy,160.92,10/1/2019 14:27,10/2/2019 10:31,,
6943,13446,273081,Synovos,94.5,10/1/2019 15:20,10/10/2019 11:52,,
6944,13447,270459,Star Painting,407.83,10/1/2019 15:21,10/3/2019 11:02,,
6945,13448,,Dome Construction,97.68,10/1/2019 15:24,,10/14/2019 8:10,
6946,13449,269715,American Rock Salt,407.48,10/1/2019 15:43,10/1/2019 15:51,,
6947,13450,,Janus Fire Systems,889.38,10/1/2019 15:52,,10/10/2019 8:26,
6948,13451,,Greene County NY,46.98,10/1/2019 16:08,,1/6/2020 17:06,
6949,13452,269869,"Dynamis, Inc.",39.59,10/1/2019 16:48,10/2/2019 9:40,,
6950,13453,270118,"E Light Electric Services, Inc.",277.73,10/1/2019 16:56,10/2/2019 14:16,,
6951,13454,270062,Dongweck Engraving,122.3,10/2/2019 7:21,10/2/2019 13:40,,
6952,13455,277826,Trinseo LLC,282.49,10/2/2019 7:39,10/24/2019 8:35,,
6953,13456,,RichArt Graphics,3292.5,10/2/2019 8:43,,11/5/2019 15:49,
6954,13457,270872,MJR Digital Cinemas,48.23,10/2/2019 8:58,10/4/2019 9:31,,
6955,13458,270619,Concessions International LLC,49.57,10/2/2019 9:02,10/3/2019 14:10,,
6956,13459,270460,Sun West Engineering Construction,37.18,10/2/2019 9:04,10/3/2019 11:03,,
6957,13460,283805,New Millennium Enterprises,668.3,10/2/2019 9:31,11/12/2019 9:48,,
6958,13461,270383,City of Canby,193,10/2/2019 9:45,10/3/2019 8:44,,
6959,13462,270227,Bay Equipment & Repair,18.68,10/2/2019 10:14,10/2/2019 16:01,,
6960,13463,,ARC,191.51,10/2/2019 10:50,,12/13/2019 12:19,
6961,13464,,MCAS BEAUFORT H&HS EOD,372.5,10/2/2019 10:54,,12/18/2019 10:50,
6962,13465,,Magedi Abdelmasih,43,10/2/2019 10:55,,1/6/2020 17:07,
6963,13466,270134,hp construction,76.85,10/2/2019 11:23,10/2/2019 14:31,,
6964,13467,270539,"Magellan Midstream Partners L.P. - Chico,TX",512.12,10/2/2019 11:36,10/3/2019 12:47,,
6965,13468,270020,Wisconsin Veterans Home at Chippewa Falls,12.66,10/2/2019 11:40,10/2/2019 12:44,,
6966,13469,277365,Crossroads Construction,170.05,10/2/2019 12:00,10/23/2019 9:05,,
6967,13470,271605,Moss and Associates,80.5,10/2/2019 12:07,10/7/2019 14:34,,
6968,13471,270377,Marketshare Inc,1141.72,10/2/2019 12:42,10/3/2019 8:29,,
7071,13472,,Graphics Systems,285.14,10/2/2019 12:52,,11/5/2019 15:50,
7072,13473,270636,Methodist Hospital for Surgery,57.92,10/2/2019 13:03,10/3/2019 14:27,,
7073,13474,270570,"Post General Contracting, LLC",666.9,10/2/2019 13:04,10/3/2019 13:24,,
7074,13475,270638,Methodist Hospital for Surgery,57.92,10/2/2019 13:05,10/3/2019 14:29,,
7075,13476,270641,Methodist Hospital for Surgery,57.92,10/2/2019 13:06,10/3/2019 14:31,,
7076,13477,270469,Wahl Clipper Corporation,135.26,10/2/2019 13:24,10/3/2019 11:11,,
7077,13478,271455,Sunnyvale Riot Color Ctr (SJB) ARC Location# 017,102,10/2/2019 13:29,10/7/2019 11:01,,
7078,13479,277964,Rocky River City School District,162.5,10/2/2019 13:39,10/24/2019 11:58,,
7079,13480,271967,Star Painting,1037.45,10/2/2019 13:42,10/8/2019 11:00,,
7080,13481,270737,Lancer Corp,300,10/2/2019 13:54,10/3/2019 16:29,,
7081,13482,270711,Lux Hotel and Spa,10.81,10/2/2019 13:57,10/3/2019 16:02,,
7082,13483,270402,Power House Manufacturing,34.5,10/2/2019 14:12,10/3/2019 9:34,,
7083,13484,270464,"Neumiller Farms, Inc",159.76,10/2/2019 15:07,10/3/2019 11:07,,
7084,13485,270699,Karen Whittemore,17.28,10/2/2019 15:08,10/3/2019 15:46,,
7085,13486,270730,SAN JOSE PUBLIC LIBRARY,273.13,10/2/2019 15:12,10/3/2019 16:25,,
7086,13487,270627,Brown County Library,95.08,10/2/2019 15:18,10/3/2019 14:15,,
7087,13488,270243,The Art Institute of Chicago,22,10/2/2019 15:25,10/2/2019 16:14,,
7088,13489,,FOUR SEASONS AT RAYSTOWN LAKE CAMPING RESORT dab RAYSTOWN LAKE / SAXTON KOA,280.25,10/2/2019 15:41,,11/15/2019 14:14,
7089,13490,271179,ESC Region 20,135.5,10/2/2019 15:44,10/4/2019 16:15,,
7090,13491,270973,Metro Greenway,301.49,10/2/2019 16:45,10/4/2019 11:30,,
7091,13492,,Eaton,57.5,10/3/2019 7:33,,1/28/2020 13:01,
7092,13493,270943,Northwind Apartments,110.7,10/3/2019 7:49,10/4/2019 10:49,,
7093,13494,270622,Metropolitan Condominiums,48.18,10/3/2019 8:51,10/3/2019 14:13,,
7094,13495,270712,Interfaith of The Woodlands,143.44,10/3/2019 8:57,10/3/2019 16:04,,
7095,13496,270395,Fulton Market,101.71,10/3/2019 9:04,10/3/2019 9:12,,
7148,13497,,RichArt Graphics,349,10/3/2019 9:12,,11/5/2019 15:52,
