,Estimate#,Converted#,CompanyName,PriceTotal,DateCreated,DateConverted,DateLost,DateVoided
122,7574,173482,T-Mobile,82.24,1/7/2019 14:53,1/9/2019 14:09,,
123,7575,176225,Fort Loudoun Medical Center,17,1/7/2019 15:10,1/17/2019 12:36,,
124,7576,173004,HSC Builders & Construction Manager,225.25,1/7/2019 15:16,1/8/2019 14:29,,
125,7577,173348,Cen Cal Better Deal Printing,72.5,1/7/2019 15:47,1/9/2019 11:26,,
126,7578,173230,Dahlgren Industrial,305.5,1/7/2019 16:20,1/9/2019 9:35,,
127,7579,173457,GLC Construction,738.5,1/8/2019 8:13,1/9/2019 13:42,,
128,7580,175312,SCI Arc,82.5,1/8/2019 8:16,1/15/2019 13:02,,
129,7581,,"Jay Management, Inc",28.5,1/8/2019 8:42,,1/17/2019 10:36,
130,7582,191091,T-Mobile,14028.71,1/8/2019 8:57,3/4/2019 14:18,,
131,7583,180637,T-Mobile,3535.8,1/8/2019 9:28,1/31/2019 10:47,,
132,7584,174202,RMC Facilities Services,63.48,1/8/2019 9:31,1/11/2019 11:00,,
133,7585,172899,Pointer Sign LLC,100.77,1/8/2019 9:55,1/8/2019 13:12,,
134,7586,,Tele-Pak Card Printing Inc,36052.5,1/8/2019 10:04,,1/17/2019 10:28,
135,7587,172922,William Jewell College.,137.5,1/8/2019 10:33,1/8/2019 13:32,,
136,7588,172865,CBS Electric Insulation Materials,105,1/8/2019 10:50,1/8/2019 12:40,,
137,7589,173102,Montana Doorways Plus,46.5,1/8/2019 11:02,1/8/2019 16:06,,
138,7590,172927,Upstate Services Group LLC,53.5,1/8/2019 12:06,1/8/2019 13:35,,
139,7591,174029,Flint Hill School,57.5,1/8/2019 12:10,1/10/2019 17:24,,
140,7592,173187,Wilkey Industries,29.5,1/8/2019 12:31,1/9/2019 7:11,,
141,7593,,FASTSIGNS of Kankakee,145.5,1/8/2019 12:35,,1/17/2019 14:03,
142,7594,,Arizona Public Service,2987.5,1/8/2019 13:00,,2/14/2019 13:32,
143,7595,173548,Tundra,1086,1/8/2019 13:03,1/9/2019 15:13,,
144,7596,203850,Electro Scientific Industries (S) Pte Ltd,14,1/8/2019 13:25,4/8/2019 8:22,,
145,7597,175128,Incrediplex,361.13,1/8/2019 13:51,1/15/2019 9:55,,
146,7598,179634,King Signs & Graphics Inc.,35.5,1/8/2019 14:31,1/28/2019 17:48,,
147,7599,173211,Agostini Bacon Construction Companies,231.66,1/8/2019 15:54,1/9/2019 9:00,,
148,7600,,Adimpact,229.5,1/8/2019 15:58,,1/22/2019 14:54,
149,7601,,Tactile/Braille Signs,272,1/8/2019 16:28,,4/12/2019 13:18,
150,7602,,TAW Custom Equipment,3072.5,1/9/2019 8:34,,2/4/2019 8:44,
151,7603,,G&G Equipment Specialists,243.5,1/9/2019 8:37,,5/10/2019 9:20,
152,7604,173886,"RPM Business Solutions, Inc",51.5,1/9/2019 8:44,1/10/2019 13:24,,
153,7605,173895,Makino,51,1/9/2019 8:52,1/10/2019 13:36,,
154,7606,180486,RichArt Graphics,3552.12,1/9/2019 9:28,1/31/2019 7:52,,
155,7607,,"Pfizer, Inc.",297.5,1/9/2019 10:18,,1/23/2019 14:24,
156,7608,173384,CS Energy,44.5,1/9/2019 10:29,1/9/2019 11:56,,
157,7609,174337,Charleston School of Law,260.5,1/9/2019 10:32,1/11/2019 14:21,,
158,7610,176070,Manning Materials Inc.,8287,1/9/2019 10:36,1/17/2019 9:38,,
237,7611,173373,WeWork,93.6,1/9/2019 10:39,1/9/2019 11:46,,
238,7612,,Vulcan Materials Company,276.5,1/9/2019 11:19,,11/14/2019 12:11,
239,7613,174398,Maas Energy Works,50.5,1/9/2019 11:30,1/11/2019 16:21,,
240,7614,176692,T-Mobile,1009.11,1/9/2019 12:13,1/18/2019 13:10,,
241,7615,173737,Synovos,79.97,1/9/2019 12:59,1/10/2019 10:31,,
242,7616,173986,"Summer Systems, Inc.",30.5,1/9/2019 13:07,1/10/2019 16:28,,
243,7617,174342,Team Commercial Construction,61,1/9/2019 13:11,1/11/2019 14:37,,
244,7618,,Durham Marriott Royal County Hotel,,1/9/2019 13:45,,1/21/2019 11:07,
